Date;Open;High;Low;Close;Adj Close;Volume;vol2
27/02/2020;44.650.002;45.540.001;43.560.001;44.470.001;44.470.001;42419000;42,419
28/02/2020;43.990.002;44.310.001;43.200.001;44.310.001;44.310.001;33228600;33,2286
02/03/2020;44.880.001;47.090.000;44.810.001;46.360.001;46.360.001;48372500;48,3725
03/03/2020;46.740.002;49.090.000;46.070.000;46.349.998;46.349.998;52401800;52,4018
04/03/2020;48.000.000;49.090.000;47.000.000;48.570.000;48.570.000;31476600;31,4766
05/03/2020;47.660.000;47.950.001;45.950.001;46.849.998;46.849.998;29092300;29,0923
06/03/2020;44.200.001;45.820.000;43.650.002;44.610.001;44.610.001;39718600;39,7186
09/03/2020;40.450.001;41.540.001;37.810.001;37.830.002;37.830.002;59037000;59,037
10/03/2020;41.900.002;45.340.000;40.799.999;44.810.001;44.810.001;63269800;63,2698
11/03/2020;43.009.998;44.290.001;39.000.000;40.740.002;40.740.002;50025000;50,025
12/03/2020;36.000.000;36.000.000;32.450.001;35.349.998;35.349.998;62222000;62,222
13/03/2020;42.000.000;44.029.999;37.000.000;42.900.002;42.900.002;67635900;67,6359
16/03/2020;36.009.998;41.400.002;36.009.998;39.040.001;39.040.001;59078300;59,0783
17/03/2020;40.500.000;43.570.000;39.110.001;41.509.998;41.509.998;52743800;52,7438
